"Occurred ","Stud-ID","Fault #","Fault Trigger","Fixed","Duration","Reason","Description","Extended description","Operation Mode","Success"
"11/06/2016 16:24:55","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"11/06/2016 17:08:33","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"11/06/2016 17:52:11","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"11/06/2016 18:35:49","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"11/06/2016 19:19:27","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"11/06/2016 20:03:06","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"11/06/2016 20:46:44","NA","NA","NA","NA","NA","NA","NA","NA","NA","2"
"11/06/2016 21:30:22","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"11/06/2016 22:14:00","NA","NA","NA","NA","NA","NA","NA","NA","NA","2"
"11/06/2016 22:57:38","NA","NA","NA","NA","NA","NA","NA","NA","NA","2"
"11/06/2016 23:41:17","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"11/07/2016 00:24:55","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"11/07/2016 01:08:33","NA","NA","NA","NA","NA","NA","NA","NA","NA","2"
"11/07/2016 01:52:11","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"11/07/2016 02:35:49","NA","NA","NA","NA","NA","NA","NA","NA","NA","2"
"11/07/2016 03:19:27","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"11/07/2016 04:03:06","NA","NA","NA","NA","NA","NA","NA","NA","NA","2"
"11/07/2016 04:46:44","NA","NA","NA","NA","NA","NA","NA","NA","NA","2"
"11/07/2016 05:30:22","NA","NA","NA","NA","NA","NA","NA","NA","NA","2"
"11/07/2016 06:14:00","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"11/07/2016 06:57:38","NA","NA","NA","NA","NA","NA","NA","NA","NA","2"
"11/07/2016 07:41:17","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"11/07/2016 08:24:55","NA","NA","NA","NA","NA","NA","NA","NA","NA","2"
"11/07/2016 09:08:33","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"11/07/2016 09:52:11","NA","NA","NA","NA","NA","NA","NA","NA","NA","2"
"11/07/2016 10:35:49","NA","NA","NA","NA","NA","NA","NA","NA","NA","2"
"11/07/2016 11:19:27","NA","NA","NA","NA","NA","NA","NA","NA","NA","2"
"11/07/2016 12:03:06","NA","NA","NA","NA","NA","NA","NA","NA","NA","2"
"11/07/2016 12:46:44","NA","NA","NA","NA","NA","NA","NA","NA","NA","2"
"11/07/2016 13:30:22","NA","NA","NA","NA","NA","NA","NA","NA","NA","2"
"11/07/2016 14:14:00","NA","NA","NA","NA","NA","NA","NA","NA","NA","2"
"11/07/2016 14:57:38","NA","NA","NA","NA","NA","NA","NA","NA","NA","2"
"11/07/2016 15:41:17","NA","NA","NA","NA","NA","NA","NA","NA","NA","2"
"11/7/2016 15:41:17","2-001","13008","LMC","11/7/2016 15:41:50","00:00:33","Restart","LMC: Penetration out of tolerance","The observed penetration is out of the programmed tolerance range.","Automatic mode","0"
"11/07/2016 15:42:13","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"11/07/2016 15:42:36","NA","NA","NA","NA","NA","NA","NA","NA","NA","2"
