Occurred ,Stud-ID,Fault #,Fault Trigger,Fixed,Duration,Reason,Description,Extended description,Operation Mode,Success
12/13/2016 18:45:13,,20112,Process Management,1/10/2017 15:21:06,,System restart,CPM: Pressure monitor protective gas,The CPM signals that the protective gas pressure has fallen below the limit value.,None,0
12/13/2016 12:50:49,1-001,13011,LMC,12/13/2016 12:50:59,00:00:10,Finish command,LMC: No room for lift,The linear motor can not execute the current lift because the is no room for the lift. Please check the stickout and lift higth values.  The remaining LM travel is insufficient for the programmed lift. The sum of the stickout and the programmed lift must ,Automatic mode,0
12/13/2016 12:46:27,1-001,21066,Process Management,12/13/2016 12:47:37,00:01:10,Finish command,DCPU-PM: Self-resetting fault during weld process,A self-resetting fault has occured during a weld process. This fault ensures that the according weld process ends with an fault. The causal fault can be found in the fault history.,Automatic mode,0
12/13/2016 12:46:25,1-001,21065,Process Management,12/13/2016 12:47:37,00:01:12,Finish command,DCPU-PM: Feed start signal invalid during current operation state,A feed start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/13/2016 12:46:25,1-001,21050,Process Management,12/13/2016 12:47:37,00:01:12,Finish command,DCPU-PM: Weld head move start signal invalid during current operation state,A weld head move start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/13/2016 12:46:25,2-001,21065,Process Management,12/13/2016 12:47:41,00:01:16,Finish command,DCPU-PM: Feed start signal invalid during current operation state,A feed start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/13/2016 12:46:25,2-001,21050,Process Management,12/13/2016 12:47:41,00:01:16,Finish command,DCPU-PM: Weld head move start signal invalid during current operation state,A weld head move start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/13/2016 12:46:25,,20112,Process Management,12/13/2016 12:46:27,00:00:02,Self resetted,CPM: Pressure monitor protective gas,The CPM signals that the protective gas pressure has fallen below the limit value.,None,0
12/13/2016 12:38:15,2-001,20029,Process Management,12/13/2016 12:40:18,00:02:03,Restart,No SOW - fastener (stud) has been not detected by stud-arrival sensor,The required signal SOW (stud on work) for starting a weld cycle is not recognized.  Reason for the missing SOW signal: The feeding cycle that was performed before the welding could not be completed correctly. The fastener (stud) has been not detected by stud-aarival sensor.,Automatic mode,0
12/13/2016 12:36:14,2-001,13008,LMC,12/13/2016 12:36:56,00:00:42,Restart,LMC: Penetration out of tolerance,The observed penetration is out of the programmed tolerance range.,Automatic mode,0
12/13/2016 11:36:43,,20112,Process Management,12/13/2016 11:39:55,00:03:12,Self resetted,CPM: Pressure monitor protective gas,The CPM signals that the protective gas pressure has fallen below the limit value.,None,0
12/12/2016 18:39:26,,20112,Process Management,12/13/2016 11:36:12,,System restart,CPM: Pressure monitor protective gas,The CPM signals that the protective gas pressure has fallen below the limit value.,None,0
12/12/2016 18:38:55,,20112,Process Management,12/12/2016 18:38:58,00:00:03,Self resetted,CPM: Pressure monitor protective gas,The CPM signals that the protective gas pressure has fallen below the limit value.,None,0
12/12/2016 18:38:27,,20112,Process Management,12/12/2016 18:38:34,00:00:07,Self resetted,CPM: Pressure monitor protective gas,The CPM signals that the protective gas pressure has fallen below the limit value.,None,0
12/12/2016 18:37:52,,16376,Weld tool,12/13/2016 11:36:12,,System restart,Weld tool: Stud-arrival sensor detected no stud,The stud-arrival sensor detected no stud during a stud feeding process,Automatic mode,0
