Occurred ,Success,Error_Probs
11/06/2016 16:17:17,2,0.0
11/06/2016 16:53:17,2,0.0
11/06/2016 17:29:17,2,0.0
11/06/2016 18:05:17,2,0.0
11/06/2016 18:41:17,2,0.0
11/06/2016 19:17:17,2,0.0
11/06/2016 19:53:17,2,0.0
11/06/2016 20:29:17,2,0.0
11/06/2016 21:05:17,2,0.0
11/06/2016 21:41:17,2,0.0
11/06/2016 22:17:17,2,0.0
11/06/2016 22:53:17,2,0.0
11/06/2016 23:29:17,2,0.0
11/07/2016 00:05:17,2,0.0
11/07/2016 00:41:17,1,0.142857142857
11/07/2016 01:17:17,2,0.142857142857
11/07/2016 01:53:17,1,0.285714285714
11/07/2016 02:29:17,2,0.285714285714
11/07/2016 03:05:17,2,0.285714285714
11/07/2016 03:41:17,2,0.285714285714
11/07/2016 04:17:17,2,0.285714285714
11/07/2016 04:53:17,1,0.285714285714
11/07/2016 05:29:17,2,0.285714285714
11/07/2016 06:05:17,2,0.142857142857
11/07/2016 06:41:17,2,0.142857142857
11/07/2016 07:17:17,1,0.285714285714
11/07/2016 07:53:17,2,0.285714285714
11/07/2016 08:29:17,1,0.428571428571
11/07/2016 09:05:17,1,0.428571428571
11/07/2016 09:41:17,1,0.571428571429
11/07/2016 10:17:17,1,0.714285714286
11/07/2016 10:53:17,1,0.857142857143
11/07/2016 11:29:17,1,0.857142857143
11/07/2016 12:05:17,2,0.857142857143
11/07/2016 12:41:17,1,0.857142857143
11/07/2016 13:17:17,1,0.857142857143
11/07/2016 13:53:17,1,0.857142857143
11/07/2016 14:29:17,1,0.857142857143
11/07/2016 15:05:17,1,0.857142857143
11/07/2016 15:41:17,1,0.857142857143
11/7/2016 15:41:17,0,0.857142857143
11/07/2016 15:42:09,2,0.714285714286
11/07/2016 15:42:28,2,0.571428571429
11/07/2016 15:42:47,2,0.428571428571
11/07/2016 15:43:07,2,0.285714285714
11/07/2016 15:43:26,2,0.142857142857
11/07/2016 15:43:45,2,0.0
11/07/2016 15:44:04,2,0.0
11/07/2016 15:44:24,2,0.0
11/07/2016 15:44:43,2,0.0
11/07/2016 15:45:02,2,0.0
11/07/2016 15:45:21,2,0.0
11/07/2016 15:45:41,2,0.0
11/07/2016 15:46:00,1,0.142857142857
11/07/2016 15:46:19,1,0.285714285714
11/07/2016 15:46:38,1,0.428571428571
11/07/2016 15:46:58,1,0.571428571429
11/07/2016 15:47:17,1,0.714285714286
11/07/2016 15:47:36,1,0.857142857143
11/07/2016 15:47:55,2,0.857142857143
11/07/2016 15:48:15,1,0.857142857143
11/07/2016 15:48:34,2,0.714285714286
11/07/2016 15:48:53,1,0.714285714286
11/07/2016 15:49:13,1,0.714285714286
11/07/2016 15:49:32,2,0.571428571429
11/07/2016 15:49:51,1,0.571428571429
11/07/2016 15:50:10,2,0.571428571429
11/07/2016 15:50:30,1,0.571428571429
11/07/2016 15:50:49,1,0.714285714286
11/07/2016 15:51:08,1,0.714285714286
11/07/2016 15:51:27,2,0.571428571429
11/07/2016 15:51:47,1,0.714285714286
11/07/2016 15:52:06,1,0.714285714286
11/07/2016 15:52:25,1,0.857142857143
11/07/2016 15:52:44,1,0.857142857143
11/07/2016 15:53:04,1,0.857142857143
11/07/2016 15:53:23,1,0.857142857143
11/07/2016 15:53:42,1,1.0
11/07/2016 15:54:01,1,1.0
11/07/2016 15:54:21,1,1.0
11/07/2016 15:54:40,1,1.0
11/07/2016 15:54:59,1,1.0
11/07/2016 15:55:19,1,1.0
11/7/2016 15:55:19,0,0.857142857143
11/07/2016 15:55:28,2,0.714285714286
11/07/2016 15:55:36,2,0.571428571429
11/07/2016 15:55:44,1,0.571428571429
11/07/2016 15:55:52,1,0.571428571429
11/07/2016 15:56:00,2,0.428571428571
11/07/2016 15:56:08,2,0.285714285714
11/07/2016 15:56:16,2,0.285714285714
11/07/2016 15:56:24,2,0.285714285714
11/07/2016 15:56:32,2,0.285714285714
11/07/2016 15:56:40,2,0.142857142857
11/07/2016 15:56:48,1,0.142857142857
11/07/2016 15:56:56,1,0.285714285714
11/07/2016 15:57:04,2,0.285714285714
11/07/2016 15:57:12,1,0.428571428571
11/07/2016 15:57:20,1,0.571428571429
11/07/2016 15:57:28,2,0.571428571429
11/07/2016 15:57:36,1,0.714285714286
11/07/2016 15:57:44,2,0.571428571429
11/07/2016 15:57:52,1,0.571428571429
11/07/2016 15:58:00,1,0.714285714286
11/07/2016 15:58:08,1,0.714285714286
11/07/2016 15:58:16,1,0.714285714286
11/07/2016 15:58:24,1,0.857142857143
11/07/2016 15:58:32,1,0.857142857143
11/7/2016 15:58:32,0,0.857142857143
11/07/2016 15:58:33,2,0.714285714286
11/07/2016 15:58:33,2,0.571428571429
11/07/2016 15:58:33,2,0.428571428571
11/07/2016 15:58:33,2,0.285714285714
11/07/2016 15:58:33,2,0.142857142857
11/07/2016 15:58:33,2,0.0
11/07/2016 15:58:33,2,0.0
11/07/2016 15:58:33,2,0.0
11/07/2016 15:58:33,2,0.0
11/07/2016 15:58:33,1,0.142857142857
11/07/2016 15:58:33,1,0.285714285714
11/07/2016 15:58:33,2,0.285714285714
11/07/2016 15:58:33,2,0.285714285714
11/07/2016 15:58:33,2,0.285714285714
11/07/2016 15:58:33,1,0.428571428571
11/07/2016 15:58:33,2,0.428571428571
11/07/2016 15:58:33,1,0.428571428571
11/07/2016 15:58:33,1,0.428571428571
11/07/2016 15:58:33,1,0.571428571429
11/07/2016 15:58:33,2,0.571428571429
11/07/2016 15:58:32,1,0.714285714286
11/07/2016 15:58:32,1,0.714285714286
11/07/2016 15:58:32,2,0.714285714286
11/07/2016 15:58:32,2,0.571428571429
11/07/2016 15:58:32,1,0.571428571429
11/07/2016 15:58:32,2,0.428571428571
11/07/2016 15:58:32,1,0.571428571429
11/07/2016 15:58:32,1,0.571428571429
11/07/2016 15:58:32,1,0.571428571429
11/07/2016 15:58:32,1,0.714285714286
11/07/2016 15:58:32,1,0.857142857143
11/07/2016 15:58:32,1,0.857142857143
11/07/2016 15:58:32,1,1.0
11/07/2016 15:58:32,1,1.0
11/07/2016 15:58:32,1,1.0
11/07/2016 15:58:32,1,1.0
11/07/2016 15:58:32,1,1.0
11/07/2016 15:58:32,1,1.0
11/07/2016 15:58:32,2,0.857142857143
11/07/2016 15:58:32,1,0.857142857143
11/07/2016 15:58:32,1,0.857142857143
11/7/2016 15:58:32,0,0.714285714286
11/07/2016 15:59:56,2,0.571428571429
11/07/2016 15:59:58,2,0.428571428571
11/07/2016 16:00:00,2,0.285714285714
11/07/2016 16:00:02,2,0.285714285714
11/07/2016 16:00:04,2,0.142857142857
11/07/2016 16:00:06,2,0.0
11/07/2016 16:00:08,1,0.142857142857
11/07/2016 16:00:11,2,0.142857142857
11/07/2016 16:00:13,1,0.285714285714
11/07/2016 16:00:15,2,0.285714285714
11/07/2016 16:00:17,2,0.285714285714
11/07/2016 16:00:19,1,0.428571428571
11/07/2016 16:00:21,1,0.571428571429
11/07/2016 16:00:23,2,0.428571428571
11/07/2016 16:00:25,1,0.571428571429
11/07/2016 16:00:28,2,0.428571428571
11/07/2016 16:00:30,1,0.571428571429
11/07/2016 16:00:32,2,0.571428571429
11/07/2016 16:00:34,2,0.428571428571
11/07/2016 16:00:36,1,0.428571428571
11/07/2016 16:00:38,2,0.428571428571
11/07/2016 16:00:40,1,0.428571428571
11/07/2016 16:00:42,2,0.428571428571
11/07/2016 16:00:45,1,0.428571428571
11/07/2016 16:00:47,2,0.428571428571
11/07/2016 16:00:49,1,0.571428571429
11/07/2016 16:00:51,1,0.571428571429
11/07/2016 16:00:53,2,0.571428571429
11/07/2016 16:00:55,2,0.428571428571
11/07/2016 16:00:57,2,0.428571428571
11/07/2016 16:00:59,1,0.428571428571
11/07/2016 16:01:02,2,0.428571428571
11/07/2016 16:01:04,1,0.428571428571
11/07/2016 16:01:06,2,0.285714285714
11/07/2016 16:01:08,1,0.428571428571
11/07/2016 16:01:10,1,0.571428571429
11/07/2016 16:01:12,2,0.571428571429
11/07/2016 16:01:14,2,0.428571428571
11/07/2016 16:01:16,2,0.428571428571
11/07/2016 16:01:19,1,0.428571428571
11/07/2016 16:01:21,1,0.571428571429
11/07/2016 16:01:23,1,0.571428571429
11/07/2016 16:01:25,1,0.571428571429
11/07/2016 16:01:27,1,0.714285714286
11/07/2016 16:01:29,1,0.857142857143
11/07/2016 16:01:31,1,1.0
11/07/2016 16:01:33,1,1.0
11/07/2016 16:01:36,1,1.0
11/7/2016 16:01:36,0,0.857142857143
11/07/2016 16:02:05,2,0.714285714286
11/07/2016 16:02:20,2,0.571428571429
11/07/2016 16:02:35,2,0.428571428571
